AIN,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,ASK_AMT,IS_SUCCESSFUL
10656605,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,1
10662680,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,709815,0
10664127,T2,Independent,C1000,ProductDev,Trust,1,25000-99999,N,1329410,0
10669807,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
10671224,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10672368,T3,Independent,C7200,Preservation,Trust,1,0,N,5000,1
10681022,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10681362,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
10687111,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
10691782,T3,Independent,C1700,Preservation,Trust,1,0,N,5000,1
10692183,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10693398,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,31613,1
10694045,T3,Independent,C1200,Preservation,Trust,1,1M-5M,N,1549352,0
10698492,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,0
10702652,T3,Independent,C2000,Preservation,Trust,1,10M-50M,N,577113,0
10704382,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,44623,0
10714556,T3,CompanySponsored,C1000,Preservation,Association,1,100000-499999,N,64868,0
10722752,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,131620,0
10725791,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10728655,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,306133,1
10731855,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,66916,1
10739048,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10741195,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,236206,1
10743229,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10747219,T5,Independent,C1000,ProductDev,Trust,1,100000-499999,N,393704,1
10751555,T3,Family/Parent,C2000,Preservation,Trust,1,0,N,5000,1
10753792,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10757287,T9,Independent,C1000,ProductDev,Trust,1,10M-50M,N,9955466,1
10757957,T19,CompanySponsored,C1000,ProductDev,Association,1,25000-99999,N,94869,0
10767844,T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
10770184,T3,Independent,C7000,Preservation,Trust,1,100000-499999,N,6501,1
10782045,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10786082,T3,Independent,C7000,Preservation,Trust,1,100000-499999,N,5000,1
10787050,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,5000,1
10788363,T3,Independent,C4000,Preservation,Trust,1,0,N,5000,1
10790158,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10792599,T5,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
10792931,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10795050,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,36607,1
10796052,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,1
10799064,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
10800756,T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
10801061,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,484855,1
10809220,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,0
10811961,T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,137272,1
10817613,T3,Independent,C7100,Preservation,Trust,1,25000-99999,N,5000,1
10817701,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,1
10819786,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,101980,0
10824858,T3,Independent,C4000,Preservation,Trust,1,1M-5M,N,4410503,0
10827666,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10831976,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10832329,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10833427,T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,15477,0
10840977,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10843787,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10844545,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10845123,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10845329,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
10845382,T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,5000,0
10846155,T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,5000,0
10846449,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
10846459,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
10847217,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10848225,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,24211,1
10850344,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,9868,1
10850944,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10856712,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10856925,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10857765,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10862365,T4,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
10863368,T3,Independent,C2800,Preservation,Trust,1,0,N,5000,1
10864531,T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10865411,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10865479,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10865482,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10868003,T3,Independent,C1700,Preservation,Trust,1,10000-24999,N,5000,1
10868265,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,5000,1
10868438,T3,CompanySponsored,C2000,CommunityServ,Trust,1,0,N,5000,1
10868590,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10869469,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10874048,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
10875323,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
10882371,T3,Independent,C6000,Preservation,Trust,1,0,N,5000,1
10882460,T6,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
10882484,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10885913,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10886335,T3,Independent,C1000,Preservation,Association,1,0,N,5000,1
10887359,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
10887630,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10887732,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10889332,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10893582,T3,Independent,C2100,Preservation,Trust,1,1-9999,N,5000,1
10898286,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10899845,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10899909,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
10902695,T6,Independent,C2000,ProductDev,Trust,1,1-9999,N,5000,1
10903595,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10908934,T3,Independent,C1700,Preservation,Trust,1,25000-99999,N,638229,1
10910501,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,20520,1
10912758,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10913802,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
10913889,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10914371,T3,Independent,C1238,Preservation,Trust,1,0,N,5000,1
10914547,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10914803,T3,Independent,C1000,Preservation,Association,1,1-9999,N,5000,1
10919429,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
10919470,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,8160,1
10920172,T5,Independent,C3000,ProductDev,Trust,1,0,N,5000,0
10920788,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10923261,T4,CompanySponsored,C3000,Preservation,Association,1,0,N,5000,0
10926177,T3,Independent,C2100,Preservation,Trust,1,0,N,5000,1
10930718,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10931153,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10932514,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,34879,0
10933037,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,0
10933175,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,205120,0
10933202,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10933668,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10933751,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10936099,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
10942580,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,12829,1
10942588,T3,Independent,C7000,Preservation,Trust,1,25000-99999,N,452970,1
10944516,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,72961,1
10945185,T19,Independent,C1000,Preservation,Association,1,0,N,5000,1
10947092,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10947364,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10947974,T4,Independent,C1000,ProductDev,Co-operative,1,0,N,5000,1
10949204,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
10950466,T3,Independent,C7000,ProductDev,Trust,1,10000-24999,N,12860,1
10951573,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10953706,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10957717,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10959162,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
10960304,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10960733,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
10960970,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,696502,0
10962504,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,1
10962669,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10964184,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10964993,T3,CompanySponsored,C7000,Preservation,Association,1,100000-499999,N,259589,0
10965274,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
10966484,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
10967102,T3,Independent,C7000,Preservation,Trust,1,10000-24999,N,5213,0
10967257,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10967342,T6,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
10968080,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10970424,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
10970789,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,1
10971360,T6,Independent,C1000,ProductDev,Trust,1,25000-99999,N,49112,1
10973033,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
10973441,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10975096,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10975346,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,86584,1
10976744,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10977153,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
16192565,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,4108874,1
16231970,T9,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,25175802,1
16233557,T9,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
16269871,T5,Independent,C1000,ProductDev,Co-operative,1,25000-99999,N,132449,1
20154003,T4,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
20547041,T3,Independent,C7120,Preservation,Association,1,0,N,5000,1
20549134,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
20550024,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
20552790,T3,Independent,C7100,Preservation,Trust,1,0,N,5000,1
20552849,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,73686,1
20553177,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
20555782,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
20559026,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,723426,1
20562254,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
20568487,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
20576519,T5,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
20584427,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,521883,1
20587726,T3,Independent,C2000,Preservation,Association,1,0,N,5000,0
20592364,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,855350,1
20594382,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
20597460,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
20597868,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
20602143,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20604931,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,370941,1
20612084,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
20613004,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
20613652,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,5000,1
20613723,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
20613994,T3,Independent,C1200,Preservation,Association,1,0,N,5000,1
20615561,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
20616337,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,1728949,1
20617968,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
20626486,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20632489,T8,Independent,C1000,Preservation,Association,1,0,N,5000,0
20634996,T7,Independent,C1000,ProductDev,Trust,1,1M-5M,N,287332,0
20642374,T6,Independent,C1000,ProductDev,Trust,1,1M-5M,N,1790960,1
20642399,T5,CompanySponsored,C3000,ProductDev,Association,1,1-9999,N,23799,0
20645322,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,201655,1
20647127,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
20648013,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20649134,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
20651055,T3,CompanySponsored,C1800,Preservation,Association,1,5M-10M,N,27285052,1
20659877,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
20661045,T5,Independent,C2000,ProductDev,Trust,1,10000-24999,N,7139,1
20662585,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,74643,1
20676551,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
20676871,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
20677354,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,640921,0
20677361,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,2705244,0
20681855,T3,Independent,C1200,Preservation,Trust,1,5M-10M,N,2770474,1
20685246,T10,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
20689230,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20692279,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20693187,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20695289,T3,CompanySponsored,C1000,Preservation,Co-operative,1,0,N,5000,0
20702802,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
20702806,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
20702812,T6,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
20702823,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
20702826,T6,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
20702829,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
20702832,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
20702834,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
20704284,T3,Independent,C4000,Preservation,Trust,1,0,N,5000,0
20704963,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20706620,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,61686,0
20706812,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1064584,1
20709651,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
20711397,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,25736,1
20711886,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,1
20714551,T3,Independent,C1000,Heathcare,Trust,1,10M-50M,N,17512616,1
20718342,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,39064,1
20720405,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
20727388,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
20727601,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,5000,0
20727742,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,1
20728999,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
20729856,T7,Independent,C1000,ProductDev,Association,1,0,N,5000,0
20732814,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,67654,0
20734927,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
20736142,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
20737091,T3,CompanySponsored,C2000,Preservation,Association,1,25000-99999,N,139694,0
20739003,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
20743045,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
20743377,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,1
20747858,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20747930,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
20749635,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
20750280,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20753003,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
20755902,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
20756178,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
20756380,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,5000,1
20759742,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,1
20764559,T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
20766588,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
20769898,T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
20769900,T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
20770260,T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
20770855,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
20772423,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
20773076,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
20775662,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20777129,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
20777900,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
20778129,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
20778229,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20779034,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
20779049,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
20779095,T3,Independent,C7000,Preservation,Trust,1,100000-499999,N,212362,1
20780063,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
20780572,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,87981,0
20781707,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
20781988,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
20785420,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,16027,1
20785630,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
20785701,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20787196,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
20787550,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1066994,1
20798497,T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,107484,1
20799690,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20800484,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,9860,1
20803250,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20805839,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
20807054,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20808347,T5,Independent,C3000,ProductDev,Association,1,0,N,5000,0
20809069,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
20809597,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,20380,1
20810124,T4,CompanySponsored,C3000,Preservation,Trust,1,0,N,5000,0
20810979,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
20811039,T3,Independent,C1000,Preservation,Association,1,0,N,5000,1
20811632,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
26167634,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,293732,0
26179070,T13,Independent,C1000,Preservation,Co-operative,1,0,N,5000,1
30377757,T3,Independent,C1700,Preservation,Trust,1,25000-99999,N,2471994,1
30379811,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
30387385,T3,Independent,C2700,Preservation,Trust,1,1M-5M,N,2793433,0
30397378,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
30399333,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
30400216,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,324268,1
30411647,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,1
30414879,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,343650,1
30420895,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
30422075,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
30426021,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
30435498,T3,Independent,C1200,Preservation,Association,1,0,N,5000,1
30446564,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
30448478,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,497726,1
30466294,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
30467340,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
30476245,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
30478794,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
30484384,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
30489440,T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,1
30491948,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
30492613,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
30493957,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,28993,1
30494378,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,118358,1
30498821,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,2257305,1
30506710,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
30521366,T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,5000,0
30521416,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
30521670,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
30526797,T3,Independent,C2000,Preservation,Association,1,0,N,5000,1
30528765,T3,CompanySponsored,C2000,ProductDev,Trust,1,25000-99999,N,64723,0
30531290,T3,Independent,C1200,Preservation,Trust,1,10000-24999,N,403069,1
30533724,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
30537370,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
30538679,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
30539566,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
30540984,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
30545193,T3,Independent,C1000,Preservation,Association,1,25000-99999,N,5000,0
